variable,file_count,year_range,years,first_seen,last_seen,has_gaps,gap_details,mapped_to,in_target_schema,files
J03_OKB,37,2007-2016,"2007,2008,2009,2010,2011,2012,2013,2014,2015,2016",2007,2016,,,PUFC16_PKB,,2007-01JAN.CSV;2007-04APR.CSV;2007-07JUL.CSV;2007-10OCT.CSV;2008-01JAN.CSV;2008-04APR.CSV;2008-07JUL.CSV;2008-10OCT.CSV;2009-01JAN.CSV;2009-04APR.CSV;2009-07JUL.CSV;2009-10OCT.CSV;2010-01JAN.CSV;2010-04APR.CSV;2010-07JUL.CSV;2010-10OCT.CSV;2011-01JAN.CSV;2011-04APR.CSV;2011-07JUL.CSV;2011-10OCT.CSV;2012-01JAN.CSV;2012-04APR.CSV;2012-07JUL.CSV;2012-10OCT.CSV;2013-01JAN.CSV;2013-04APR.CSV;2013-07JUL.CSV;2013-10OCT.CSV;2014-01JAN.CSV;2014-04APR.CSV;2014-07JUL.CSV;2014-10OCT.CSV;2015-01JAN.CSV;2015-04APR.CSV;2015-07JUL.CSV;2015-10OCT.CSV;2016-01JAN.CSV
PUFURB2015,35,2020-2023,"2020,2021,2022,2023",2020,2023,,,,,2020-01JAN.CSV;2020-04APR.CSV;2020-07JUL.CSV;2020-10OCT.csv;2021-01JAN.csv;2021-02FEB.csv;2021-03MAR.csv;2021-04APR.csv;2021-05MAY.csv;2021-06JUN.csv;2021-07JUL.csv;2021-08AUG.CSV;2021-09SEP.CSV;2021-10OCT.CSV;2021-11NOV.CSV;2021-12DEC.CSV;2022-01JAN.csv;2022-02FEB.csv;2022-03MAR.csv;2022-04APR.csv;2022-05MAY.csv;2022-06JUN.csv;2022-07JUL.CSV;2022-08AUG.CSV;2022-09SEP.CSV;2022-10OCT.CSV;2022-11NOV.CSV;2022-12DEC.CSV;2023-01JAN.CSV;2023-02FEB.CSV;2023-03MAR.CSV;2023-04APR.CSV;2023-05MAY.CSV;2023-06JUN.CSV;2023-07JUL.CSV
PUFC14_PROCC,34,2016-2024,"2016,2017,2018,2019,2020,2021,2022,2023,2024",2016,2024,,,PUFC14_PROCC,YES,2016-04APR.CSV;2016-07JUL.CSV;2016-10OCT.CSV;2017-01JAN.CSV;2017-04APR.CSV;2017-07JUL.CSV;2017-10OCT.CSV;2018-01JAN.CSV;2018-04APR.CSV;2018-07JUL.CSV;2018-10OCT.CSV;2019-01JAN.CSV;2019-04APR.CSV;2019-07JUL.CSV;2019-10OCT.CSV;2020-01JAN.CSV;2020-04APR.CSV;2020-07JUL.CSV;2020-10OCT.csv;2021-01JAN.csv;2021-04APR.csv;2021-07JUL.csv;2021-10OCT.CSV;2022-01JAN.csv;2022-04APR.csv;2022-07JUL.CSV;2022-10OCT.CSV;2023-01JAN.CSV;2023-04APR.CSV;2023-07JUL.CSV;2023-10OCT.CSV;2024-01JAN.CSV;2024-04APR.CSV;2024-07JUL.CSV
PUFC12_JOB,34,2016-2024,"2016,2017,2018,2019,2020,2021,2022,2023,2024",2016,2024,,,PUFC12_JOB,YES,2016-04APR.CSV;2016-07JUL.CSV;2016-10OCT.CSV;2017-01JAN.CSV;2017-04APR.CSV;2017-07JUL.CSV;2017-10OCT.CSV;2018-01JAN.CSV;2018-04APR.CSV;2018-07JUL.CSV;2018-10OCT.CSV;2019-01JAN.CSV;2019-04APR.CSV;2019-07JUL.CSV;2019-10OCT.CSV;2020-01JAN.CSV;2020-04APR.CSV;2020-07JUL.CSV;2020-10OCT.csv;2021-01JAN.csv;2021-04APR.csv;2021-07JUL.csv;2021-10OCT.CSV;2022-01JAN.csv;2022-04APR.csv;2022-07JUL.CSV;2022-10OCT.CSV;2023-01JAN.CSV;2023-04APR.CSV;2023-07JUL.CSV;2023-10OCT.CSV;2024-01JAN.CSV;2024-04APR.CSV;2024-07JUL.CSV
PUFC11_WORK,34,2016-2024,"2016,2017,2018,2019,2020,2021,2022,2023,2024",2016,2024,,,PUFC11_WORK,YES,2016-04APR.CSV;2016-07JUL.CSV;2016-10OCT.CSV;2017-01JAN.CSV;2017-04APR.CSV;2017-07JUL.CSV;2017-10OCT.CSV;2018-01JAN.CSV;2018-04APR.CSV;2018-07JUL.CSV;2018-10OCT.CSV;2019-01JAN.CSV;2019-04APR.CSV;2019-07JUL.CSV;2019-10OCT.CSV;2020-01JAN.CSV;2020-04APR.CSV;2020-07JUL.CSV;2020-10OCT.csv;2021-01JAN.csv;2021-04APR.csv;2021-07JUL.csv;2021-10OCT.CSV;2022-01JAN.csv;2022-04APR.csv;2022-07JUL.CSV;2022-10OCT.CSV;2023-01JAN.CSV;2023-04APR.CSV;2023-07JUL.CSV;2023-10OCT.CSV;2024-01JAN.CSV;2024-04APR.CSV;2024-07JUL.CSV
PUFC18_PNWHRS,34,2016-2024,"2016,2017,2018,2019,2020,2021,2022,2023,2024",2016,2024,,,PUFC18_PNWHRS,YES,2016-04APR.CSV;2016-07JUL.CSV;2016-10OCT.CSV;2017-01JAN.CSV;2017-04APR.CSV;2017-07JUL.CSV;2017-10OCT.CSV;2018-01JAN.CSV;2018-04APR.CSV;2018-07JUL.CSV;2018-10OCT.CSV;2019-01JAN.CSV;2019-04APR.CSV;2019-07JUL.CSV;2019-10OCT.CSV;2020-01JAN.CSV;2020-04APR.CSV;2020-07JUL.CSV;2020-10OCT.csv;2021-01JAN.csv;2021-04APR.csv;2021-07JUL.csv;2021-10OCT.CSV;2022-01JAN.csv;2022-04APR.csv;2022-07JUL.CSV;2022-10OCT.CSV;2023-01JAN.CSV;2023-04APR.CSV;2023-07JUL.CSV;2023-10OCT.CSV;2024-01JAN.CSV;2024-04APR.CSV;2024-07JUL.CSV
PUFC19_PHOURS,34,2016-2024,"2016,2017,2018,2019,2020,2021,2022,2023,2024",2016,2024,,,PUFC19_PHOURS,YES,2016-04APR.CSV;2016-07JUL.CSV;2016-10OCT.CSV;2017-01JAN.CSV;2017-04APR.CSV;2017-07JUL.CSV;2017-10OCT.CSV;2018-01JAN.CSV;2018-04APR.CSV;2018-07JUL.CSV;2018-10OCT.CSV;2019-01JAN.CSV;2019-04APR.CSV;2019-07JUL.CSV;2019-10OCT.CSV;2020-01JAN.CSV;2020-04APR.CSV;2020-07JUL.CSV;2020-10OCT.csv;2021-01JAN.csv;2021-04APR.csv;2021-07JUL.csv;2021-10OCT.CSV;2022-01JAN.csv;2022-04APR.csv;2022-07JUL.CSV;2022-10OCT.CSV;2023-01JAN.CSV;2023-04APR.CSV;2023-07JUL.CSV;2023-10OCT.CSV;2024-01JAN.CSV;2024-04APR.CSV;2024-07JUL.CSV
PUFC20_PWMORE,34,2016-2024,"2016,2017,2018,2019,2020,2021,2022,2023,2024",2016,2024,,,PUFC20_PWMORE,YES,2016-04APR.CSV;2016-07JUL.CSV;2016-10OCT.CSV;2017-01JAN.CSV;2017-04APR.CSV;2017-07JUL.CSV;2017-10OCT.CSV;2018-01JAN.CSV;2018-04APR.CSV;2018-07JUL.CSV;2018-10OCT.CSV;2019-01JAN.CSV;2019-04APR.CSV;2019-07JUL.CSV;2019-10OCT.CSV;2020-01JAN.CSV;2020-04APR.CSV;2020-07JUL.CSV;2020-10OCT.csv;2021-01JAN.csv;2021-04APR.csv;2021-07JUL.csv;2021-10OCT.CSV;2022-01JAN.csv;2022-04APR.csv;2022-07JUL.CSV;2022-10OCT.CSV;2023-01JAN.CSV;2023-04APR.CSV;2023-07JUL.CSV;2023-10OCT.CSV;2024-01JAN.CSV;2024-04APR.CSV;2024-07JUL.CSV
PUFC21_PLADDW,34,2016-2024,"2016,2017,2018,2019,2020,2021,2022,2023,2024",2016,2024,,,PUFC21_PLADDW,YES,2016-04APR.CSV;2016-07JUL.CSV;2016-10OCT.CSV;2017-01JAN.CSV;2017-04APR.CSV;2017-07JUL.CSV;2017-10OCT.CSV;2018-01JAN.CSV;2018-04APR.CSV;2018-07JUL.CSV;2018-10OCT.CSV;2019-01JAN.CSV;2019-04APR.CSV;2019-07JUL.CSV;2019-10OCT.CSV;2020-01JAN.CSV;2020-04APR.CSV;2020-07JUL.CSV;2020-10OCT.csv;2021-01JAN.csv;2021-04APR.csv;2021-07JUL.csv;2021-10OCT.CSV;2022-01JAN.csv;2022-04APR.csv;2022-07JUL.CSV;2022-10OCT.CSV;2023-01JAN.CSV;2023-04APR.CSV;2023-07JUL.CSV;2023-10OCT.CSV;2024-01JAN.CSV;2024-04APR.CSV;2024-07JUL.CSV
PUFC22_PFWRK,34,2016-2024,"2016,2017,2018,2019,2020,2021,2022,2023,2024",2016,2024,,,PUFC22_PFWRK,YES,2016-04APR.CSV;2016-07JUL.CSV;2016-10OCT.CSV;2017-01JAN.CSV;2017-04APR.CSV;2017-07JUL.CSV;2017-10OCT.CSV;2018-01JAN.CSV;2018-04APR.CSV;2018-07JUL.CSV;2018-10OCT.CSV;2019-01JAN.CSV;2019-04APR.CSV;2019-07JUL.CSV;2019-10OCT.CSV;2020-01JAN.CSV;2020-04APR.CSV;2020-07JUL.CSV;2020-10OCT.csv;2021-01JAN.csv;2021-04APR.csv;2021-07JUL.csv;2021-10OCT.CSV;2022-01JAN.csv;2022-04APR.csv;2022-07JUL.CSV;2022-10OCT.CSV;2023-01JAN.CSV;2023-04APR.CSV;2023-07JUL.CSV;2023-10OCT.CSV;2024-01JAN.CSV;2024-04APR.CSV;2024-07JUL.CSV
PUFC23_PCLASS,34,2016-2024,"2016,2017,2018,2019,2020,2021,2022,2023,2024",2016,2024,,,PUFC23_PCLASS,YES,2016-04APR.CSV;2016-07JUL.CSV;2016-10OCT.CSV;2017-01JAN.CSV;2017-04APR.CSV;2017-07JUL.CSV;2017-10OCT.CSV;2018-01JAN.CSV;2018-04APR.CSV;2018-07JUL.CSV;2018-10OCT.CSV;2019-01JAN.CSV;2019-04APR.CSV;2019-07JUL.CSV;2019-10OCT.CSV;2020-01JAN.CSV;2020-04APR.CSV;2020-07JUL.CSV;2020-10OCT.csv;2021-01JAN.csv;2021-04APR.csv;2021-07JUL.csv;2021-10OCT.CSV;2022-01JAN.csv;2022-04APR.csv;2022-07JUL.CSV;2022-10OCT.CSV;2023-01JAN.CSV;2023-04APR.CSV;2023-07JUL.CSV;2023-10OCT.CSV;2024-01JAN.CSV;2024-04APR.CSV;2024-07JUL.CSV
PUFC16_PKB,34,2016-2024,"2016,2017,2018,2019,2020,2021,2022,2023,2024",2016,2024,,,PUFC16_PKB,YES,2016-04APR.CSV;2016-07JUL.CSV;2016-10OCT.CSV;2017-01JAN.CSV;2017-04APR.CSV;2017-07JUL.CSV;2017-10OCT.CSV;2018-01JAN.CSV;2018-04APR.CSV;2018-07JUL.CSV;2018-10OCT.CSV;2019-01JAN.CSV;2019-04APR.CSV;2019-07JUL.CSV;2019-10OCT.CSV;2020-01JAN.CSV;2020-04APR.CSV;2020-07JUL.CSV;2020-10OCT.csv;2021-01JAN.csv;2021-04APR.csv;2021-07JUL.csv;2021-10OCT.CSV;2022-01JAN.csv;2022-04APR.csv;2022-07JUL.CSV;2022-10OCT.CSV;2023-01JAN.CSV;2023-04APR.CSV;2023-07JUL.CSV;2023-10OCT.CSV;2024-01JAN.CSV;2024-04APR.CSV;2024-07JUL.CSV
PUFC17_NATEM,34,2016-2024,"2016,2017,2018,2019,2020,2021,2022,2023,2024",2016,2024,,,PUFC17_NATEM,YES,2016-04APR.CSV;2016-07JUL.CSV;2016-10OCT.CSV;2017-01JAN.CSV;2017-04APR.CSV;2017-07JUL.CSV;2017-10OCT.CSV;2018-01JAN.CSV;2018-04APR.CSV;2018-07JUL.CSV;2018-10OCT.CSV;2019-01JAN.CSV;2019-04APR.CSV;2019-07JUL.CSV;2019-10OCT.CSV;2020-01JAN.CSV;2020-04APR.CSV;2020-07JUL.CSV;2020-10OCT.csv;2021-01JAN.csv;2021-04APR.csv;2021-07JUL.csv;2021-10OCT.CSV;2022-01JAN.csv;2022-04APR.csv;2022-07JUL.CSV;2022-10OCT.CSV;2023-01JAN.CSV;2023-04APR.CSV;2023-07JUL.CSV;2023-10OCT.CSV;2024-01JAN.CSV;2024-04APR.CSV;2024-07JUL.CSV
PUFC26_OJOB,34,2016-2024,"2016,2017,2018,2019,2020,2021,2022,2023,2024",2016,2024,,,PUFC26_OJOB,YES,2016-04APR.CSV;2016-07JUL.CSV;2016-10OCT.CSV;2017-01JAN.CSV;2017-04APR.CSV;2017-07JUL.CSV;2017-10OCT.CSV;2018-01JAN.CSV;2018-04APR.CSV;2018-07JUL.CSV;2018-10OCT.CSV;2019-01JAN.CSV;2019-04APR.CSV;2019-07JUL.CSV;2019-10OCT.CSV;2020-01JAN.CSV;2020-04APR.CSV;2020-07JUL.CSV;2020-10OCT.csv;2021-01JAN.csv;2021-04APR.csv;2021-07JUL.csv;2021-10OCT.CSV;2022-01JAN.csv;2022-04APR.csv;2022-07JUL.CSV;2022-10OCT.CSV;2023-01JAN.CSV;2023-04APR.CSV;2023-07JUL.CSV;2023-10OCT.CSV;2024-01JAN.CSV;2024-04APR.CSV;2024-07JUL.CSV
PUFC27_NJOBS,34,2016-2024,"2016,2017,2018,2019,2020,2021,2022,2023,2024",2016,2024,,,PUFC27_NJOBS,YES,2016-04APR.CSV;2016-07JUL.CSV;2016-10OCT.CSV;2017-01JAN.CSV;2017-04APR.CSV;2017-07JUL.CSV;2017-10OCT.CSV;2018-01JAN.CSV;2018-04APR.CSV;2018-07JUL.CSV;2018-10OCT.CSV;2019-01JAN.CSV;2019-04APR.CSV;2019-07JUL.CSV;2019-10OCT.CSV;2020-01JAN.CSV;2020-04APR.CSV;2020-07JUL.CSV;2020-10OCT.csv;2021-01JAN.csv;2021-04APR.csv;2021-07JUL.csv;2021-10OCT.CSV;2022-01JAN.csv;2022-04APR.csv;2022-07JUL.CSV;2022-10OCT.CSV;2023-01JAN.CSV;2023-04APR.CSV;2023-07JUL.CSV;2023-10OCT.CSV;2024-01JAN.CSV;2024-04APR.CSV;2024-07JUL.CSV
PUFC28_THOURS,34,2016-2024,"2016,2017,2018,2019,2020,2021,2022,2023,2024",2016,2024,,,PUFC28_THOURS,YES,2016-04APR.CSV;2016-07JUL.CSV;2016-10OCT.CSV;2017-01JAN.CSV;2017-04APR.CSV;2017-07JUL.CSV;2017-10OCT.CSV;2018-01JAN.CSV;2018-04APR.CSV;2018-07JUL.CSV;2018-10OCT.CSV;2019-01JAN.CSV;2019-04APR.CSV;2019-07JUL.CSV;2019-10OCT.CSV;2020-01JAN.CSV;2020-04APR.CSV;2020-07JUL.CSV;2020-10OCT.csv;2021-01JAN.csv;2021-04APR.csv;2021-07JUL.csv;2021-10OCT.CSV;2022-01JAN.csv;2022-04APR.csv;2022-07JUL.CSV;2022-10OCT.CSV;2023-01JAN.CSV;2023-04APR.CSV;2023-07JUL.CSV;2023-10OCT.CSV;2024-01JAN.CSV;2024-04APR.CSV;2024-07JUL.CSV
PUFC29_WWM48H,34,2016-2024,"2016,2017,2018,2019,2020,2021,2022,2023,2024",2016,2024,,,PUFC29_WWM48H,YES,2016-04APR.CSV;2016-07JUL.CSV;2016-10OCT.CSV;2017-01JAN.CSV;2017-04APR.CSV;2017-07JUL.CSV;2017-10OCT.CSV;2018-01JAN.CSV;2018-04APR.CSV;2018-07JUL.CSV;2018-10OCT.CSV;2019-01JAN.CSV;2019-04APR.CSV;2019-07JUL.CSV;2019-10OCT.CSV;2020-01JAN.CSV;2020-04APR.CSV;2020-07JUL.CSV;2020-10OCT.csv;2021-01JAN.csv;2021-04APR.csv;2021-07JUL.csv;2021-10OCT.CSV;2022-01JAN.csv;2022-04APR.csv;2022-07JUL.CSV;2022-10OCT.CSV;2023-01JAN.CSV;2023-04APR.CSV;2023-07JUL.CSV;2023-10OCT.CSV;2024-01JAN.CSV;2024-04APR.CSV;2024-07JUL.CSV
PUFC30_LOOKW,34,2016-2024,"2016,2017,2018,2019,2020,2021,2022,2023,2024",2016,2024,,,PUFC30_LOOKW,YES,2016-04APR.CSV;2016-07JUL.CSV;2016-10OCT.CSV;2017-01JAN.CSV;2017-04APR.CSV;2017-07JUL.CSV;2017-10OCT.CSV;2018-01JAN.CSV;2018-04APR.CSV;2018-07JUL.CSV;2018-10OCT.CSV;2019-01JAN.CSV;2019-04APR.CSV;2019-07JUL.CSV;2019-10OCT.CSV;2020-01JAN.CSV;2020-04APR.CSV;2020-07JUL.CSV;2020-10OCT.csv;2021-01JAN.csv;2021-04APR.csv;2021-07JUL.csv;2021-10OCT.CSV;2022-01JAN.csv;2022-04APR.csv;2022-07JUL.CSV;2022-10OCT.CSV;2023-01JAN.CSV;2023-04APR.CSV;2023-07JUL.CSV;2023-10OCT.CSV;2024-01JAN.CSV;2024-04APR.CSV;2024-07JUL.CSV
PUFC31_FLWRK,34,2016-2024,"2016,2017,2018,2019,2020,2021,2022,2023,2024",2016,2024,,,PUFC31_FLWRK,YES,2016-04APR.CSV;2016-07JUL.CSV;2016-10OCT.CSV;2017-01JAN.CSV;2017-04APR.CSV;2017-07JUL.CSV;2017-10OCT.CSV;2018-01JAN.CSV;2018-04APR.CSV;2018-07JUL.CSV;2018-10OCT.CSV;2019-01JAN.CSV;2019-04APR.CSV;2019-07JUL.CSV;2019-10OCT.CSV;2020-01JAN.CSV;2020-04APR.CSV;2020-07JUL.CSV;2020-10OCT.csv;2021-01JAN.csv;2021-04APR.csv;2021-07JUL.csv;2021-10OCT.CSV;2022-01JAN.csv;2022-04APR.csv;2022-07JUL.CSV;2022-10OCT.CSV;2023-01JAN.CSV;2023-04APR.CSV;2023-07JUL.CSV;2023-10OCT.CSV;2024-01JAN.CSV;2024-04APR.CSV;2024-07JUL.CSV
PUFC32_JOBSM,34,2016-2024,"2016,2017,2018,2019,2020,2021,2022,2023,2024",2016,2024,,,PUFC32_JOBSM,YES,2016-04APR.CSV;2016-07JUL.CSV;2016-10OCT.CSV;2017-01JAN.CSV;2017-04APR.CSV;2017-07JUL.CSV;2017-10OCT.CSV;2018-01JAN.CSV;2018-04APR.CSV;2018-07JUL.CSV;2018-10OCT.CSV;2019-01JAN.CSV;2019-04APR.CSV;2019-07JUL.CSV;2019-10OCT.CSV;2020-01JAN.CSV;2020-04APR.CSV;2020-07JUL.CSV;2020-10OCT.csv;2021-01JAN.csv;2021-04APR.csv;2021-07JUL.csv;2021-10OCT.CSV;2022-01JAN.csv;2022-04APR.csv;2022-07JUL.CSV;2022-10OCT.CSV;2023-01JAN.CSV;2023-04APR.CSV;2023-07JUL.CSV;2023-10OCT.CSV;2024-01JAN.CSV;2024-04APR.CSV;2024-07JUL.CSV
PUFC33_WEEKS,34,2016-2024,"2016,2017,2018,2019,2020,2021,2022,2023,2024",2016,2024,,,PUFC33_WEEKS,YES,2016-04APR.CSV;2016-07JUL.CSV;2016-10OCT.CSV;2017-01JAN.CSV;2017-04APR.CSV;2017-07JUL.CSV;2017-10OCT.CSV;2018-01JAN.CSV;2018-04APR.CSV;2018-07JUL.CSV;2018-10OCT.CSV;2019-01JAN.CSV;2019-04APR.CSV;2019-07JUL.CSV;2019-10OCT.CSV;2020-01JAN.CSV;2020-04APR.CSV;2020-07JUL.CSV;2020-10OCT.csv;2021-01JAN.csv;2021-04APR.csv;2021-07JUL.csv;2021-10OCT.CSV;2022-01JAN.csv;2022-04APR.csv;2022-07JUL.CSV;2022-10OCT.CSV;2023-01JAN.CSV;2023-04APR.CSV;2023-07JUL.CSV;2023-10OCT.CSV;2024-01JAN.CSV;2024-04APR.CSV;2024-07JUL.CSV
PUFC34_WYNOT,34,2016-2024,"2016,2017,2018,2019,2020,2021,2022,2023,2024",2016,2024,,,PUFC34_WYNOT,YES,2016-04APR.CSV;2016-07JUL.CSV;2016-10OCT.CSV;2017-01JAN.CSV;2017-04APR.CSV;2017-07JUL.CSV;2017-10OCT.CSV;2018-01JAN.CSV;2018-04APR.CSV;2018-07JUL.CSV;2018-10OCT.CSV;2019-01JAN.CSV;2019-04APR.CSV;2019-07JUL.CSV;2019-10OCT.CSV;2020-01JAN.CSV;2020-04APR.CSV;2020-07JUL.CSV;2020-10OCT.csv;2021-01JAN.csv;2021-04APR.csv;2021-07JUL.csv;2021-10OCT.CSV;2022-01JAN.csv;2022-04APR.csv;2022-07JUL.CSV;2022-10OCT.CSV;2023-01JAN.CSV;2023-04APR.CSV;2023-07JUL.CSV;2023-10OCT.CSV;2024-01JAN.CSV;2024-04APR.CSV;2024-07JUL.CSV
PUFC35_LTLOOKW,34,2016-2024,"2016,2017,2018,2019,2020,2021,2022,2023,2024",2016,2024,,,PUFC35_LTLOOKW,YES,2016-04APR.CSV;2016-07JUL.CSV;2016-10OCT.CSV;2017-01JAN.CSV;2017-04APR.CSV;2017-07JUL.CSV;2017-10OCT.CSV;2018-01JAN.CSV;2018-04APR.CSV;2018-07JUL.CSV;2018-10OCT.CSV;2019-01JAN.CSV;2019-04APR.CSV;2019-07JUL.CSV;2019-10OCT.CSV;2020-01JAN.CSV;2020-04APR.CSV;2020-07JUL.CSV;2020-10OCT.csv;2021-01JAN.csv;2021-04APR.csv;2021-07JUL.csv;2021-10OCT.CSV;2022-01JAN.csv;2022-04APR.csv;2022-07JUL.CSV;2022-10OCT.CSV;2023-01JAN.CSV;2023-04APR.CSV;2023-07JUL.CSV;2023-10OCT.CSV;2024-01JAN.CSV;2024-04APR.CSV;2024-07JUL.CSV
PUFC36_AVAIL,34,2016-2024,"2016,2017,2018,2019,2020,2021,2022,2023,2024",2016,2024,,,PUFC36_AVAIL,YES,2016-04APR.CSV;2016-07JUL.CSV;2016-10OCT.CSV;2017-01JAN.CSV;2017-04APR.CSV;2017-07JUL.CSV;2017-10OCT.CSV;2018-01JAN.CSV;2018-04APR.CSV;2018-07JUL.CSV;2018-10OCT.CSV;2019-01JAN.CSV;2019-04APR.CSV;2019-07JUL.CSV;2019-10OCT.CSV;2020-01JAN.CSV;2020-04APR.CSV;2020-07JUL.CSV;2020-10OCT.csv;2021-01JAN.csv;2021-04APR.csv;2021-07JUL.csv;2021-10OCT.CSV;2022-01JAN.csv;2022-04APR.csv;2022-07JUL.CSV;2022-10OCT.CSV;2023-01JAN.CSV;2023-04APR.CSV;2023-07JUL.CSV;2023-10OCT.CSV;2024-01JAN.CSV;2024-04APR.CSV;2024-07JUL.CSV
PUFC38_PREVJOB,34,2016-2024,"2016,2017,2018,2019,2020,2021,2022,2023,2024",2016,2024,,,PUFC38_PREVJOB,YES,2016-04APR.CSV;2016-07JUL.CSV;2016-10OCT.CSV;2017-01JAN.CSV;2017-04APR.CSV;2017-07JUL.CSV;2017-10OCT.CSV;2018-01JAN.CSV;2018-04APR.CSV;2018-07JUL.CSV;2018-10OCT.CSV;2019-01JAN.CSV;2019-04APR.CSV;2019-07JUL.CSV;2019-10OCT.CSV;2020-01JAN.CSV;2020-04APR.CSV;2020-07JUL.CSV;2020-10OCT.csv;2021-01JAN.csv;2021-04APR.csv;2021-07JUL.csv;2021-10OCT.CSV;2022-01JAN.csv;2022-04APR.csv;2022-07JUL.CSV;2022-10OCT.CSV;2023-01JAN.CSV;2023-04APR.CSV;2023-07JUL.CSV;2023-10OCT.CSV;2024-01JAN.CSV;2024-04APR.CSV;2024-07JUL.CSV
PUFC37_WILLING,34,2016-2024,"2016,2017,2018,2019,2020,2021,2022,2023,2024",2016,2024,,,PUFC37_WILLING,YES,2016-04APR.CSV;2016-07JUL.CSV;2016-10OCT.CSV;2017-01JAN.CSV;2017-04APR.CSV;2017-07JUL.CSV;2017-10OCT.CSV;2018-01JAN.CSV;2018-04APR.CSV;2018-07JUL.CSV;2018-10OCT.CSV;2019-01JAN.CSV;2019-04APR.CSV;2019-07JUL.CSV;2019-10OCT.CSV;2020-01JAN.CSV;2020-04APR.CSV;2020-07JUL.CSV;2020-10OCT.csv;2021-01JAN.csv;2021-04APR.csv;2021-07JUL.csv;2021-10OCT.CSV;2022-01JAN.csv;2022-04APR.csv;2022-07JUL.CSV;2022-10OCT.CSV;2023-01JAN.CSV;2023-04APR.CSV;2023-07JUL.CSV;2023-10OCT.CSV;2024-01JAN.CSV;2024-04APR.CSV;2024-07JUL.CSV
PUFC43_QKB,34,2016-2024,"2016,2017,2018,2019,2020,2021,2022,2023,2024",2016,2024,,,PUFC43_QKB,YES,2016-04APR.CSV;2016-07JUL.CSV;2016-10OCT.CSV;2017-01JAN.CSV;2017-04APR.CSV;2017-07JUL.CSV;2017-10OCT.CSV;2018-01JAN.CSV;2018-04APR.CSV;2018-07JUL.CSV;2018-10OCT.CSV;2019-01JAN.CSV;2019-04APR.CSV;2019-07JUL.CSV;2019-10OCT.CSV;2020-01JAN.CSV;2020-04APR.CSV;2020-07JUL.CSV;2020-10OCT.csv;2021-01JAN.csv;2021-04APR.csv;2021-07JUL.csv;2021-10OCT.CSV;2022-01JAN.csv;2022-04APR.csv;2022-07JUL.CSV;2022-10OCT.CSV;2023-01JAN.CSV;2023-04APR.CSV;2023-07JUL.CSV;2023-10OCT.CSV;2024-01JAN.CSV;2024-04APR.CSV;2024-07JUL.CSV
PUFC24_PBASIS,34,2016-2024,"2016,2017,2018,2019,2020,2021,2022,2023,2024",2016,2024,,,PUFC24_PBASIS,YES,2016-04APR.CSV;2016-07JUL.CSV;2016-10OCT.CSV;2017-01JAN.CSV;2017-04APR.CSV;2017-07JUL.CSV;2017-10OCT.CSV;2018-01JAN.CSV;2018-04APR.CSV;2018-07JUL.CSV;2018-10OCT.CSV;2019-01JAN.CSV;2019-04APR.CSV;2019-07JUL.CSV;2019-10OCT.CSV;2020-01JAN.CSV;2020-04APR.CSV;2020-07JUL.CSV;2020-10OCT.csv;2021-01JAN.csv;2021-04APR.csv;2021-07JUL.csv;2021-10OCT.CSV;2022-01JAN.csv;2022-04APR.csv;2022-07JUL.CSV;2022-10OCT.CSV;2023-01JAN.CSV;2023-04APR.CSV;2023-07JUL.CSV;2023-10OCT.CSV;2024-01JAN.CSV;2024-04APR.CSV;2024-07JUL.CSV
PUFC25_PBASIC,34,2016-2024,"2016,2017,2018,2019,2020,2021,2022,2023,2024",2016,2024,,,PUFC25_PBASIC,YES,2016-04APR.CSV;2016-07JUL.CSV;2016-10OCT.CSV;2017-01JAN.CSV;2017-04APR.CSV;2017-07JUL.CSV;2017-10OCT.CSV;2018-01JAN.CSV;2018-04APR.CSV;2018-07JUL.CSV;2018-10OCT.CSV;2019-01JAN.CSV;2019-04APR.CSV;2019-07JUL.CSV;2019-10OCT.CSV;2020-01JAN.CSV;2020-04APR.CSV;2020-07JUL.CSV;2020-10OCT.csv;2021-01JAN.csv;2021-04APR.csv;2021-07JUL.csv;2021-10OCT.CSV;2022-01JAN.csv;2022-04APR.csv;2022-07JUL.CSV;2022-10OCT.CSV;2023-01JAN.CSV;2023-04APR.CSV;2023-07JUL.CSV;2023-10OCT.CSV;2024-01JAN.CSV;2024-04APR.CSV;2024-07JUL.CSV
PUFC10_CONWR,34,2016-2024,"2016,2017,2018,2019,2020,2021,2022,2023,2024",2016,2024,,,PUFC10_CONWR,YES,2016-04APR.CSV;2016-07JUL.CSV;2016-10OCT.CSV;2017-01JAN.CSV;2017-04APR.CSV;2017-07JUL.CSV;2017-10OCT.CSV;2018-01JAN.CSV;2018-04APR.CSV;2018-07JUL.CSV;2018-10OCT.CSV;2019-01JAN.CSV;2019-04APR.CSV;2019-07JUL.CSV;2019-10OCT.CSV;2020-01JAN.CSV;2020-04APR.CSV;2020-07JUL.CSV;2020-10OCT.csv;2021-01JAN.csv;2021-04APR.csv;2021-07JUL.csv;2021-10OCT.CSV;2022-01JAN.csv;2022-04APR.csv;2022-07JUL.CSV;2022-10OCT.CSV;2023-01JAN.CSV;2023-04APR.CSV;2023-07JUL.CSV;2023-10OCT.CSV;2024-01JAN.CSV;2024-04APR.CSV;2024-07JUL.CSV
