target,release,variants_searched,available_variables
PUFC09_GRADTECH,2009-01JAN,"PUFC09_GRADTECH, J12C11_GRADTECH, J12C11COURSE","A02_CSCH, A03_JOBS, A04_THRS, A05_R48H, A06_LLKW, A07_WLNG, A08_PQTR, A09_PQKB, C05_REL, C06_SEX, C07_AGE, C08_MS, C09_GRD, C101_LNO, C10_CNWR, C13_WORK, C14_JOB, C16_PROC, C18_PKB, C19PCLAS, C20_NTEM, C21_PWHR, C22_PHRS, C23_PWMR, C24_PLAW, C25_PFWK, C26_PBIS, C27_PBSC, C28_OJOB, C36_OBIC, C37_AVIL, C38_LOKW, C39_JBSM, C40_WKS, C41_FLWK, C42_WYNT, C43_LBEF, C45_POCC, CEMPST1, FWGT, HHNUM, J01_USOC, J02_OTOC, J03_OKB, J04_OCLS, J05_OHRS, J06_OBIS, NEWEMPST, PSU, REG, STRATUM, SVYMO, SVYYR, URB2K70"
PUFC09_GRADTECH,2009-04APR,"PUFC09_GRADTECH, J12C11_GRADTECH, J12C11COURSE","A02_CSCH, A03_JOBS, A04_THRS, A05_R48H, A06_LLKW, A07_WLNG, A08_PQTR, A09_PQKB, C05_REL, C06_SEX, C07_AGE, C08_MS, C09_GRD, C101_LNO, C10_CNWR, C13_WORK, C14_JOB, C16_PROC, C18_PKB, C19PCLAS, C20_NTEM, C21_PWHR, C22_PHRS, C23_PWMR, C24_PLAW, C25_PFWK, C26_PBIS, C27_PBSC, C28_OJOB, C36_OBIC, C37_AVIL, C38_LOKW, C39_JBSM, C40_WKS, C41_FLWK, C42_WYNT, C43_LBEF, C45_POCC, CEMPST1, FWGT, HHNUM, J01_USOC, J02_OTOC, J03_OKB, J04_OCLS, J05_OHRS, J06_OBIS, NEWEMPST, PSU, REG, STRATUM, SVYMO, SVYYR, URB2K70"
PUFC09_GRADTECH,2009-07JUL,"PUFC09_GRADTECH, J12C11_GRADTECH, J12C11COURSE","A02_CSCH, A03_JOBS, A04_THRS, A05_R48H, A06_LLKW, A07_WLNG, A08_PQTR, A09_PQKB, C05_REL, C06_SEX, C07_AGE, C08_MS, C09_GRD, C101_LNO, C10_CNWR, C13_WORK, C14_JOB, C16_PROC, C18_PKB, C19PCLAS, C20_NTEM, C21_PWHR, C22_PHRS, C23_PWMR, C24_PLAW, C25_PFWK, C26_PBIS, C27_PBSC, C28_OJOB, C36_OBIC, C37_AVIL, C38_LOKW, C39_JBSM, C40_WKS, C41_FLWK, C42_WYNT, C43_LBEF, C45_POCC, CEMPST1, FWGT, HHNUM, J01_USOC, J02_OTOC, J03_OKB, J04_OCLS, J05_OHRS, J06_OBIS, NEWEMPST, PSU, REG, STRATUM, SVYMO, SVYYR, URB2K70"
PUFC09_GRADTECH,2009-10OCT,"PUFC09_GRADTECH, J12C11_GRADTECH, J12C11COURSE","A02_CSCH, A03_JOBS, A04_THRS, A05_R48H, A06_LLKW, A07_WLNG, A08_PQTR, A09_PQKB, C05_REL, C06_SEX, C07_AGE, C08_MS, C09_GRD, C101_LNO, C10_CNWR, C13_WORK, C14_JOB, C16_PROC, C18_PKB, C19PCLAS, C20_NTEM, C21_PWHR, C22_PHRS, C23_PWMR, C24_PLAW, C25_PFWK, C26_PBIS, C27_PBSC, C28_OJOB, C36_OBIC, C37_AVIL, C38_LOKW, C39_JBSM, C40_WKS, C41_FLWK, C42_WYNT, C43_LBEF, C45_POCC, CEMPST1, FWGT, HHNUM, J01_USOC, J02_OTOC, J03_OKB, J04_OCLS, J05_OHRS, J06_OBIS, NEWEMPST, PSU, REG, STRATUM, SVYMO, SVYYR, URB2K70"
PUFC09_GRADTECH,2010-01JAN,"PUFC09_GRADTECH, J12C11_GRADTECH, J12C11COURSE","A02_CSCH, A03_JOBS, A04_THRS, A05_R48H, A06_LLKW, A07_WLNG, A08_PQTR, A09_PQKB, C05_REL, C06_SEX, C07_AGE, C08_MS, C09_GRD, C101_LNO, C10_CNWR, C13_WORK, C14_JOB, C16_PROC, C18_PKB, C19PCLAS, C20_NTEM, C21_PWHR, C22_PHRS, C23_PWMR, C24_PLAW, C25_PFWK, C26_PBIS, C27_PBSC, C28_OJOB, C36_OBIC, C37_AVIL, C38_LOKW, C39_JBSM, C40_WKS, C41_FLWK, C42_WYNT, C43_LBEF, C45_POCC, CEMPST1, FWGT, HHNUM, J01_USOC, J02_OTOC, J03_OKB, J04_OCLS, J05_OHRS, J06_OBIS, NEWEMPST, PSU, REG, STRATUM, SVYMO, SVYYR, URB2K70"
PUFC09_GRADTECH,2010-10OCT,"PUFC09_GRADTECH, J12C11_GRADTECH, J12C11COURSE","A02_CSCH, A03_JOBS, A04_THRS, A05_R48H, A06_LLKW, A07_WLNG, A08_PQTR, A09_PQKB, C05_REL, C06_SEX, C07_AGE, C08_MS, C09_GRD, C101_LNO, C10_CNWR, C13_WORK, C14_JOB, C16_PROC, C18_PKB, C19PCLAS, C20_NTEM, C21_PWHR, C22_PHRS, C23_PWMR, C24_PLAW, C25_PFWK, C26_PBIS, C27_PBSC, C28_OJOB, C36_OBIC, C37_AVIL, C38_LOKW, C39_JBSM, C40_WKS, C41_FLWK, C42_WYNT, C43_LBEF, C45_POCC, CEMPST1, FWGT, HHNUM, J01_USOC, J02_OTOC, J03_OKB, J04_OCLS, J05_OHRS, J06_OBIS, NEWEMPST, PSU, REG, STRATUM, SVYMO, SVYYR, URB2K70"
PUFC09_GRADTECH,2011-01JAN,"PUFC09_GRADTECH, J12C11_GRADTECH, J12C11COURSE","A02_CSCH, A03_JOBS, A04_THRS, A05_R48H, A06_LLKW, A07_WLNG, A08_PQTR, A09_PQKB, C05_REL, C06_SEX, C07_AGE, C08_MS, C09_GRD, C101_LNO, C10_CNWR, C13_WORK, C14_JOB, C16_PROC, C18_PKB, C19PCLAS, C20_NTEM, C21_PWHR, C22_PHRS, C23_PWMR, C24_PLAW, C25_PFWK, C26_PBIS, C27_PBSC, C28_OJOB, C36_OBIC, C37_AVIL, C38_LOKW, C39_JBSM, C40_WKS, C41_FLWK, C42_WYNT, C43_LBEF, C45_POCC, CEMPST1, FWGT, HHNUM, J01_USOC, J02_OTOC, J03_OKB, J04_OCLS, J05_OHRS, J06_OBIS, NEWEMPST, PSU, REG, STRATUM, SVYMO, SVYYR, URB2K70"
PUFC09_GRADTECH,2011-04APR,"PUFC09_GRADTECH, J12C11_GRADTECH, J12C11COURSE","A02_CSCH, A03_JOBS, A04_THRS, A05_R48H, A06_LLKW, A07_WLNG, A08_PQTR, A09_PQKB, C05_REL, C06_SEX, C07_AGE, C08_MS, C09_GRD, C101_LNO, C10_CNWR, C13_WORK, C14_JOB, C16_PROC, C18_PKB, C19PCLAS, C20_NTEM, C21_PWHR, C22_PHRS, C23_PWMR, C24_PLAW, C25_PFWK, C26_PBIS, C27_PBSC, C28_OJOB, C36_OBIC, C37_AVIL, C38_LOKW, C39_JBSM, C40_WKS, C41_FLWK, C42_WYNT, C43_LBEF, C45_POCC, CEMPST1, FWGT, HHNUM, J01_USOC, J02_OTOC, J03_OKB, J04_OCLS, J05_OHRS, J06_OBIS, NEWEMPST, PSU, REG, STRATUM, SVYMO, SVYYR, URB2K70"
PUFC09_GRADTECH,2011-07JUL,"PUFC09_GRADTECH, J12C11_GRADTECH, J12C11COURSE","A02_CSCH, A03_JOBS, A04_THRS, A05_R48H, A06_LLKW, A07_WLNG, A08_PQTR, A09_PQKB, C05_REL, C06_SEX, C07_AGE, C08_MS, C09_GRD, C101_LNO, C10_CNWR, C13_WORK, C14_JOB, C16_PROC, C18_PKB, C19PCLAS, C20_NTEM, C21_PWHR, C22_PHRS, C23_PWMR, C24_PLAW, C25_PFWK, C26_PBIS, C27_PBSC, C28_OJOB, C36_OBIC, C37_AVIL, C38_LOKW, C39_JBSM, C40_WKS, C41_FLWK, C42_WYNT, C43_LBEF, C45_POCC, CEMPST1, FWGT, HHNUM, J01_USOC, J02_OTOC, J03_OKB, J04_OCLS, J05_OHRS, J06_OBIS, NEWEMPST, PSU, REG, STRATUM, SVYMO, SVYYR, URB2K70"
PUFC09_GRADTECH,2011-10OCT,"PUFC09_GRADTECH, J12C11_GRADTECH, J12C11COURSE","A02_CSCH, A03_JOBS, A04_THRS, A05_R48H, A06_LLKW, A07_WLNG, A08_PQTR, A09_PQKB, C05_REL, C06_SEX, C07_AGE, C08_MS, C09_GRD, C101_LNO, C10_CNWR, C13_WORK, C14_JOB, C16_PROC, C18_PKB, C19PCLAS, C20_NTEM, C21_PWHR, C22_PHRS, C23_PWMR, C24_PLAW, C25_PFWK, C26_PBIS, C27_PBSC, C28_OJOB, C36_OBIC, C37_AVIL, C38_LOKW, C39_JBSM, C40_WKS, C41_FLWK, C42_WYNT, C43_LBEF, C45_POCC, CEMPST1, FWGT, HHNUM, J01_USOC, J02_OTOC, J03_OKB, J04_OCLS, J05_OHRS, J06_OBIS, NEWEMPST, PSU, REG, STRATUM, SVYMO, SVYYR, URB2K70"
PUFC09_GRADTECH,2021-02FEB,"PUFC09_GRADTECH, J12C11_GRADTECH, J12C11COURSE","PUFC01_LNO, PUFC03_REL, PUFC04_SEX, PUFC05_AGE, PUFC06_MSTAT, PUFC07_GRADE, PUFC08_CONWR, PUFC09A_WORK, PUFC09_WORK, PUFC10_JOB, PUFC11A_PROVMUN, PUFC13_PROCC, PUFC15_PKB, PUFC16_NATEM, PUFC17_PNWHRS, PUFC18_PHOURS, PUFC19_PWMORE, PUFC20_PLADDW, PUFC21_PCLASS, PUFC22_OJOB, PUFC23_THOURS, PUFC24_WWM48H, PUFC25_LOOKW, PUFC26_WYNOT, PUFC27_AVAIL, PUFC28_PREVJOB, PUFC29_MONTH, PUFC29_YEAR, PUFC31_POCC, PUFC33_QKB, PUFC34_LAIDOFF, PUFC35_OFW, PUFC36_OFWLAIDOFF, PUFHHNUM, PUFHHSIZE, PUFNEWEMPSTAT, PUFPSU, PUFPWGTPRV, PUFREG, PUFRPL, PUFSVYMO, PUFSVYYR, PUFURB2015"
PUFC09_GRADTECH,2021-03MAR,"PUFC09_GRADTECH, J12C11_GRADTECH, J12C11COURSE","PUFC01_LNO, PUFC03_REL, PUFC04_SEX, PUFC05_AGE, PUFC06_MSTAT, PUFC07_GRADE, PUFC08_CONWR, PUFC09A_WORK, PUFC09_WORK, PUFC10_JOB, PUFC11A_PROVMUN, PUFC13_PROCC, PUFC15_PKB, PUFC16_NATEM, PUFC17_PNWHRS, PUFC18_PHOURS, PUFC19_PWMORE, PUFC20_PLADDW, PUFC21_PCLASS, PUFC22_OJOB, PUFC23_THOURS, PUFC24_WWM48H, PUFC25_LOOKW, PUFC26_WYNOT, PUFC27_AVAIL, PUFC28_PREVJOB, PUFC29_MONTH, PUFC29_YEAR, PUFC31_POCC, PUFC33_QKB, PUFC34_LAIDOFF, PUFC35_OFW, PUFC36_OFWLAIDOFF, PUFHHNUM, PUFHHSIZE, PUFNEWEMPSTAT, PUFPSU, PUFPWGTPRV, PUFREG, PUFRPL, PUFSVYMO, PUFSVYYR, PUFURB2015"
PUFC09_GRADTECH,2021-05MAY,"PUFC09_GRADTECH, J12C11_GRADTECH, J12C11COURSE","PUFC01_LNO, PUFC03_REL, PUFC04_SEX, PUFC05_AGE, PUFC06_MSTAT, PUFC07_GRADE, PUFC08_CONWR, PUFC09A_WORK, PUFC09_WORK, PUFC10_JOB, PUFC11A_PROVMUN, PUFC11_ONLINE, PUFC13_PROCC, PUFC15_PKB, PUFC16_NATEM, PUFC17_PNWHRS, PUFC18_PHOURS, PUFC19_PWMORE, PUFC20_PLADDW, PUFC21_PCLASS, PUFC22_OJOB, PUFC23_THOURS, PUFC24_WWM48H, PUFC25_LOOKW, PUFC26_WYNOT, PUFC27_AVAIL, PUFC28_PREVJOB, PUFC29_MONTH, PUFC29_YEAR, PUFC31_POCC, PUFC33_QKB, PUFC34_LAIDOFF, PUFC35_OFW, PUFC36_OFWLAIDOFF, PUFHHNUM, PUFHHSIZE, PUFNEWEMPSTAT, PUFPSU, PUFPWGTPRV, PUFREG, PUFRPL, PUFSVYMO, PUFSVYYR, PUFURB2015"
PUFC09_GRADTECH,2021-06JUN,"PUFC09_GRADTECH, J12C11_GRADTECH, J12C11COURSE","PUFC01_LNO, PUFC03_REL, PUFC04_SEX, PUFC05_AGE, PUFC06_MSTAT, PUFC07_GRADE, PUFC08_CONWR, PUFC09A_WORK, PUFC09_WORK, PUFC10_JOB, PUFC11A_PROVMUN, PUFC11_ONLINE, PUFC13_PROCC, PUFC15_PKB, PUFC16_NATEM, PUFC17_PNWHRS, PUFC18_PHOURS, PUFC19_PWMORE, PUFC20_PLADDW, PUFC21_PCLASS, PUFC22_OJOB, PUFC23_THOURS, PUFC24_WWM48H, PUFC25_LOOKW, PUFC26_WYNOT, PUFC27_AVAIL, PUFC28_PREVJOB, PUFC29_MONTH, PUFC29_YEAR, PUFC31_POCC, PUFC33_QKB, PUFC34_LAIDOFF, PUFC35_OFW, PUFC36_OFWLAIDOFF, PUFHHNUM, PUFHHSIZE, PUFNEWEMPSTAT, PUFPSU, PUFPWGTPRV, PUFREG, PUFRPL, PUFSVYMO, PUFSVYYR, PUFURB2015"
PUFC09_GRADTECH,2021-11NOV,"PUFC09_GRADTECH, J12C11_GRADTECH, J12C11COURSE","PUFC01_LNO, PUFC03_REL, PUFC04_SEX, PUFC05_AGE, PUFC06_MSTAT, PUFC07_GRADE, PUFC08_CONWR, PUFC09A_WORK, PUFC09_WORK, PUFC10_JOB, PUFC11A_PROVMUN, PUFC11_ONLINE, PUFC13_PROCC, PUFC15_PKB, PUFC16_NATEM, PUFC17_PNWHRS, PUFC18_PHOURS, PUFC19_PWMORE, PUFC20_PLADDW, PUFC21_PCLASS, PUFC22_OJOB, PUFC23_THOURS, PUFC24_WWM48H, PUFC25_LOOKW, PUFC26_WYNOT, PUFC27_AVAIL, PUFC28_PREVJOB, PUFC29_MONTH, PUFC29_YEAR, PUFC31_POCC, PUFC33_QKB, PUFC34_LAIDOFF, PUFC35_OFW, PUFC36_OFWLAIDOFF, PUFHHNUM, PUFHHSIZE, PUFNEWEMPSTAT, PUFPSU, PUFPWGTPRV, PUFREG, PUFRPL, PUFSVYMO, PUFSVYYR, PUFURB2015"
PUFC09_GRADTECH,2021-12DEC,"PUFC09_GRADTECH, J12C11_GRADTECH, J12C11COURSE","PUFC01_LNO, PUFC03_REL, PUFC04_SEX, PUFC05_AGE, PUFC06_MSTAT, PUFC07_GRADE, PUFC08_CONWR, PUFC09A_WORK, PUFC09_WORK, PUFC10_JOB, PUFC11A_PROVMUN, PUFC11_ONLINE, PUFC13_PROCC, PUFC15_PKB, PUFC16_NATEM, PUFC17_PNWHRS, PUFC18_PHOURS, PUFC19_PWMORE, PUFC20_PLADDW, PUFC21_PCLASS, PUFC22_OJOB, PUFC23_THOURS, PUFC24_WWM48H, PUFC25_LOOKW, PUFC26_WYNOT, PUFC27_AVAIL, PUFC28_PREVJOB, PUFC29_MONTH, PUFC29_YEAR, PUFC31_POCC, PUFC33_QKB, PUFC34_LAIDOFF, PUFC35_OFW, PUFC36_OFWLAIDOFF, PUFHHNUM, PUFHHSIZE, PUFNEWEMPSTAT, PUFPSU, PUFPWGTPRV, PUFREG, PUFRPL, PUFSVYMO, PUFSVYYR, PUFURB2015"
PUFC09_GRADTECH,2022-02FEB,"PUFC09_GRADTECH, J12C11_GRADTECH, J12C11COURSE","PUFC01_LNO, PUFC03_REL, PUFC04_SEX, PUFC05_AGE, PUFC06_MSTAT, PUFC07_GRADE, PUFC08_CONWR, PUFC09A_WORK, PUFC09_WORK, PUFC10_JOB, PUFC11A_PROVMUN, PUFC11_ONLINE, PUFC13_PROCC, PUFC15_PKB, PUFC16_NATEM, PUFC17_PNWHRS, PUFC18_PHOURS, PUFC19_PWMORE, PUFC20_PLADDW, PUFC21_PCLASS, PUFC22_OJOB, PUFC23_THOURS, PUFC24_WWM48H, PUFC25_LOOKW, PUFC26_WYNOT, PUFC27_AVAIL, PUFC28_PREVJOB, PUFC29_MONTH, PUFC29_YEAR, PUFC31_POCC, PUFC33_QKB, PUFHHNUM, PUFHHSIZE, PUFNEWEMPSTAT, PUFPSU, PUFPWGTPRV, PUFREG, PUFRPL, PUFSVYMO, PUFSVYYR, PUFURB2015"
PUFC09_GRADTECH,2022-03MAR,"PUFC09_GRADTECH, J12C11_GRADTECH, J12C11COURSE","PUFC01_LNO, PUFC03_REL, PUFC04_SEX, PUFC05_AGE, PUFC06_MSTAT, PUFC07_GRADE, PUFC08_CONWR, PUFC09A_WORK, PUFC09_WORK, PUFC10_JOB, PUFC11A_PROVMUN, PUFC11_ONLINE, PUFC13_PROCC, PUFC15_PKB, PUFC16_NATEM, PUFC17_PNWHRS, PUFC18_PHOURS, PUFC19_PWMORE, PUFC20_PLADDW, PUFC21_PCLASS, PUFC22_OJOB, PUFC23_THOURS, PUFC24_WWM48H, PUFC25_LOOKW, PUFC26_WYNOT, PUFC27_AVAIL, PUFC28_PREVJOB, PUFC29_MONTH, PUFC29_YEAR, PUFC31_POCC, PUFC33_QKB, PUFHHNUM, PUFHHSIZE, PUFNEWEMPSTAT, PUFPSU, PUFPWGTPRV, PUFREG, PUFRPL, PUFSVYMO, PUFSVYYR, PUFURB2015"
PUFC09_GRADTECH,2022-05MAY,"PUFC09_GRADTECH, J12C11_GRADTECH, J12C11COURSE","PUFC01_LNO, PUFC03_REL, PUFC04_SEX, PUFC05_AGE, PUFC06_MSTAT, PUFC07_GRADE, PUFC08_CONWR, PUFC09A_WORK, PUFC09_WORK, PUFC10_JOB, PUFC11A_PROVMUN, PUFC13_PROCC, PUFC15_PKB, PUFC16_NATEM, PUFC17_PNWHRS, PUFC18_PHOURS, PUFC19_PWMORE, PUFC20B_FTWORK, PUFC20_PLADDW, PUFC21_PCLASS, PUFC22_OJOB, PUFC23_THOURS, PUFC24_WWM48H, PUFC25B_FTWORK, PUFC25_LOOKW, PUFC26_WYNOT, PUFC27_AVAIL, PUFC28_PREVJOB, PUFC29_MONTH, PUFC29_YEAR, PUFC31_POCC, PUFC33_QKB, PUFHHNUM, PUFHHSIZE, PUFNEWEMPSTAT, PUFPSU, PUFPWGTPRV, PUFREG, PUFRPL, PUFSVYMO, PUFSVYYR, PUFURB2015"
PUFC09_GRADTECH,2022-06JUN,"PUFC09_GRADTECH, J12C11_GRADTECH, J12C11COURSE","PUFC01_LNO, PUFC03_REL, PUFC04_SEX, PUFC05_AGE, PUFC06_MSTAT, PUFC07_GRADE, PUFC08_CONWR, PUFC09A_WORK, PUFC09_WORK, PUFC10_JOB, PUFC11A_PROVMUN, PUFC13_PROCC, PUFC15_PKB, PUFC16_NATEM, PUFC17_PNWHRS, PUFC18_PHOURS, PUFC19_PWMORE, PUFC20B_FTWORK, PUFC20_PLADDW, PUFC21_PCLASS, PUFC22_OJOB, PUFC23_THOURS, PUFC24_WWM48H, PUFC25B_FTWORK, PUFC25_LOOKW, PUFC26_WYNOT, PUFC27_AVAIL, PUFC28_PREVJOB, PUFC29_MONTH, PUFC29_YEAR, PUFC31_POCC, PUFC33_QKB, PUFHHNUM, PUFHHSIZE, PUFNEWEMPSTAT, PUFPSU, PUFPWGTPRV, PUFREG, PUFRPL, PUFSVYMO, PUFSVYYR, PUFURB2015"
PUFC09_GRADTECH,2022-08AUG,"PUFC09_GRADTECH, J12C11_GRADTECH, J12C11COURSE","PUFC01_LNO, PUFC03_REL, PUFC04_SEX, PUFC05_AGE, PUFC06_MSTAT, PUFC07_GRADE, PUFC08_CONWR, PUFC09A_WORK, PUFC09_WORK, PUFC10_JOB, PUFC11A_PROVMUN, PUFC13_PROCC, PUFC15_PKB, PUFC16_NATEM, PUFC17_PNWHRS, PUFC18_PHOURS, PUFC19_PWMORE, PUFC20B_FTWORK, PUFC20_PLADDW, PUFC21_PCLASS, PUFC22_OJOB, PUFC23_THOURS, PUFC24_WWM48H, PUFC25B_FTWORK, PUFC25_LOOKW, PUFC26_WYNOT, PUFC27_AVAIL, PUFC28_PREVJOB, PUFC29_MONTH, PUFC29_YEAR, PUFC31_POCC, PUFC33_QKB, PUFHHNUM, PUFHHSIZE, PUFNEWEMPSTAT, PUFPSU, PUFPWGTPRV, PUFREG, PUFRPL, PUFSVYMO, PUFSVYYR, PUFURB2015"
PUFC09_GRADTECH,2022-11NOV,"PUFC09_GRADTECH, J12C11_GRADTECH, J12C11COURSE","PUFC01_LNO, PUFC03_REL, PUFC04_SEX, PUFC05_AGE, PUFC06_MSTAT, PUFC07_GRADE, PUFC08_CONWR, PUFC09A_WORK, PUFC09_WORK, PUFC10_JOB, PUFC11A_PROVMUN, PUFC13_PROCC, PUFC15_PKB, PUFC16_NATEM, PUFC17_PNWHRS, PUFC18_PHOURS, PUFC19_PWMORE, PUFC20B_FTWORK, PUFC20_PLADDW, PUFC21_PCLASS, PUFC22_OJOB, PUFC23_THOURS, PUFC24_WWM48H, PUFC25B_FTWORK, PUFC25_LOOKW, PUFC26_WYNOT, PUFC27_AVAIL, PUFC28_PREVJOB, PUFC29_MONTH, PUFC29_YEAR, PUFC31_POCC, PUFC33_QKB, PUFHHNUM, PUFHHSIZE, PUFNEWEMPSTAT, PUFPSU, PUFPWGTPRV, PUFREG, PUFRPL, PUFSVYMO, PUFSVYYR, PUFURB2015"
PUFC09_GRADTECH,2022-12DEC,"PUFC09_GRADTECH, J12C11_GRADTECH, J12C11COURSE","PUFC01_LNO, PUFC03_REL, PUFC04_SEX, PUFC05_AGE, PUFC06_MSTAT, PUFC07_GRADE, PUFC08_CONWR, PUFC09A_WORK, PUFC09_WORK, PUFC10_JOB, PUFC11A_PROVMUN, PUFC13_PROCC, PUFC15_PKB, PUFC16_NATEM, PUFC17_PNWHRS, PUFC18_PHOURS, PUFC19_PWMORE, PUFC20B_FTWORK, PUFC20_PLADDW, PUFC21_PCLASS, PUFC22_OJOB, PUFC23_THOURS, PUFC24_WWM48H, PUFC25B_FTWORK, PUFC25_LOOKW, PUFC26_WYNOT, PUFC27_AVAIL, PUFC28_PREVJOB, PUFC29_MONTH, PUFC29_YEAR, PUFC31_POCC, PUFC33_QKB, PUFHHNUM, PUFHHSIZE, PUFNEWEMPSTAT, PUFPSU, PUFPWGTPRV, PUFREG, PUFRPL, PUFSVYMO, PUFSVYYR, PUFURB2015"
PUFC09_GRADTECH,2023-02FEB,"PUFC09_GRADTECH, J12C11_GRADTECH, J12C11COURSE","PUFC01_LNO, PUFC03_REL, PUFC04_SEX, PUFC05_AGE, PUFC06_MSTAT, PUFC07_GRADE, PUFC08_CONWR, PUFC09A_WORK, PUFC09_WORK, PUFC10_JOB, PUFC11A_PROVMUN, PUFC13_PROCC, PUFC15_PKB, PUFC16_NATEM, PUFC17_PNWHRS, PUFC18_PHOURS, PUFC19_PWMORE, PUFC20B_FTWORK, PUFC20_PLADDW, PUFC21_PCLASS, PUFC22_OJOB, PUFC23_THOURS, PUFC24_WWM48H, PUFC25B_FTWORK, PUFC25_LOOKW, PUFC26_WYNOT, PUFC27_AVAIL, PUFC28_PREVJOB, PUFC29_MONTH, PUFC29_YEAR, PUFC31_POCC, PUFC33_QKB, PUFHHNUM, PUFHHSIZE, PUFNEWEMPSTAT, PUFPSU, PUFPWGTPRV, PUFREG, PUFRPL, PUFSVYMO, PUFSVYYR, PUFURB2015"
PUFC09_GRADTECH,2023-03MAR,"PUFC09_GRADTECH, J12C11_GRADTECH, J12C11COURSE","PUFC01_LNO, PUFC03_REL, PUFC04_SEX, PUFC05_AGE, PUFC06_MSTAT, PUFC07_GRADE, PUFC08_CONWR, PUFC09A_WORK, PUFC09_WORK, PUFC10_JOB, PUFC11A_PROVMUN, PUFC13_PROCC, PUFC15_PKB, PUFC16_NATEM, PUFC17_PNWHRS, PUFC18_PHOURS, PUFC19_PWMORE, PUFC20B_FTWORK, PUFC20_PLADDW, PUFC21_PCLASS, PUFC22_OJOB, PUFC23_THOURS, PUFC24_WWM48H, PUFC25B_FTWORK, PUFC25_LOOKW, PUFC26_WYNOT, PUFC27_AVAIL, PUFC28_PREVJOB, PUFC29_MONTH, PUFC29_YEAR, PUFC31_POCC, PUFC33_QKB, PUFHHNUM, PUFHHSIZE, PUFNEWEMPSTAT, PUFPSU, PUFPWGTPRV, PUFREG, PUFRPL, PUFSVYMO, PUFSVYYR, PUFURB2015"
PUFC09_GRADTECH,2023-05MAY,"PUFC09_GRADTECH, J12C11_GRADTECH, J12C11COURSE","PUFC01_LNO, PUFC03_REL, PUFC04_SEX, PUFC05_AGE, PUFC06_MSTAT, PUFC07_GRADE, PUFC08_CONWR, PUFC09A_WORK, PUFC09_WORK, PUFC10_JOB, PUFC11A_PROVMUN, PUFC13_PROCC, PUFC15_PKB, PUFC16_NATEM, PUFC17_PNWHRS, PUFC18_PHOURS, PUFC19_PWMORE, PUFC20B_FTWORK, PUFC20_PLADDW, PUFC21_PCLASS, PUFC22_OJOB, PUFC23_THOURS, PUFC24_WWM48H, PUFC25B_FTWORK, PUFC25_LOOKW, PUFC26_WYNOT, PUFC27_AVAIL, PUFC28_PREVJOB, PUFC29_MONTH, PUFC29_YEAR, PUFC31_POCC, PUFC33_QKB, PUFHHNUM, PUFHHSIZE, PUFNEWEMPSTAT, PUFPSU, PUFPWGTPRV, PUFREG, PUFRPL, PUFSVYMO, PUFSVYYR, PUFURB2015"
PUFC09_GRADTECH,2023-06JUN,"PUFC09_GRADTECH, J12C11_GRADTECH, J12C11COURSE","PUFC01_LNO, PUFC03_REL, PUFC04_SEX, PUFC05_AGE, PUFC06_MSTAT, PUFC07_GRADE, PUFC08_CONWR, PUFC09A_WORK, PUFC09_WORK, PUFC10_JOB, PUFC11A_PROVMUN, PUFC13_PROCC, PUFC15_PKB, PUFC16_NATEM, PUFC17_PNWHRS, PUFC18_PHOURS, PUFC19_PWMORE, PUFC20B_FTWORK, PUFC20_PLADDW, PUFC21_PCLASS, PUFC22_OJOB, PUFC23_THOURS, PUFC24_WWM48H, PUFC25B_FTWORK, PUFC25_LOOKW, PUFC26_WYNOT, PUFC27_AVAIL, PUFC28_PREVJOB, PUFC29_MONTH, PUFC29_YEAR, PUFC31_POCC, PUFC33_QKB, PUFHHNUM, PUFHHSIZE, PUFNEWEMPSTAT, PUFPSU, PUFPWGTPRV, PUFREG, PUFRPL, PUFSVYMO, PUFSVYYR, PUFURB2015"
PUFC09_GRADTECH,2023-08AUG,"PUFC09_GRADTECH, J12C11_GRADTECH, J12C11COURSE","PUFC01_LNO, PUFC03_REL, PUFC04_SEX, PUFC05_AGE, PUFC06_MSTAT, PUFC07_GRADE, PUFC08_CONWR, PUFC09A_WORK, PUFC09_WORK, PUFC10_JOB, PUFC11A_PROVMUN, PUFC13_PROCC, PUFC15_PKB, PUFC16_NATEM, PUFC17_PNWHRS, PUFC18_PHOURS, PUFC19_PWMORE, PUFC20B_FTWORK, PUFC20_PLADDW, PUFC21_PCLASS, PUFC22_OJOB, PUFC23_THOURS, PUFC24_WWM48H, PUFC25B_FTWORK, PUFC25_LOOKW, PUFC26_WYNOT, PUFC27_AVAIL, PUFC28_PREVJOB, PUFC29_MONTH, PUFC29_YEAR, PUFC31_POCC, PUFC33_QKB, PUFHHNUM, PUFHHSIZE, PUFNEWEMPSTAT, PUFPSU, PUFPWGTPRV, PUFREG, PUFRPL, PUFSVYMO, PUFSVYYR"
